date,open,high,low,close
07-20-2023,"100.28","100.97","100.02","100.88"
07-19-2023,"99.98","100.54","99.93","100.28"
07-18-2023,"99.89","100.11","99.59","99.94"
07-17-2023,"99.95","100.18","99.75","99.84"
07-14-2023,"99.75","100.02","99.58","99.91"
07-13-2023,"100.52","100.61","99.74","99.77"
07-12-2023,"101.59","101.61","100.51","100.52"
07-11-2023,"101.94","101.97","101.65","101.73"
07-10-2023,"102.29","102.56","101.95","101.97"
07-07-2023,"103.08","103.19","102.23","102.27"
07-06-2023,"103.35","103.57","102.92","103.17"
07-05-2023,"103.08","103.39","102.96","103.37"
07-04-2023,"102.97","103.11","102.88","103.04"
07-03-2023,"102.93","103.27","102.75","102.99"
06-30-2023,"103.35","103.54","102.75","102.91"
06-29-2023,"102.96","103.44","102.78","103.34"
06-28-2023,"102.51","103.15","102.47","102.91"
06-27-2023,"102.74","102.80","102.32","102.49"
06-26-2023,"102.83","102.83","102.61","102.69"
06-23-2023,"102.38","103.17","102.38","102.90"
06-22-2023,"102.03","102.47","101.92","102.39"
06-21-2023,"102.50","102.71","102.02","102.07"
06-20-2023,"102.48","102.79","102.32","102.54"
06-19-2023,"102.30","102.55","102.25","102.52"
06-16-2023,"102.12","102.43","102.01","102.24"
06-15-2023,"102.96","103.38","102.09","102.12"
06-14-2023,"103.32","103.40","102.66","102.95"
06-13-2023,"103.58","103.62","103.05","103.34"
06-12-2023,"103.55","103.76","103.24","103.65"
06-09-2023,"103.30","103.61","103.30","103.56"
06-08-2023,"104.07","104.07","103.30","103.34"
06-07-2023,"104.12","104.30","103.66","104.10"
06-06-2023,"104.01","104.37","103.82","104.13"
06-05-2023,"104.04","104.40","103.93","104.00"
06-02-2023,"103.56","104.09","103.38","104.02"
06-01-2023,"104.15","104.50","103.50","103.56"
05-31-2023,"104.05","104.70","104.01","104.33"
05-30-2023,"104.30","104.53","103.88","104.17"
05-29-2023,"104.23","104.31","104.04","104.21"
05-26-2023,"104.23","104.42","103.85","104.21"
05-25-2023,"103.86","104.31","103.84","104.25"
05-24-2023,"103.54","103.91","103.35","103.89"
05-23-2023,"103.27","103.65","103.16","103.49"
05-22-2023,"103.19","103.37","102.96","103.20"
05-19-2023,"103.51","103.62","103.00","103.20"
05-18-2023,"102.91","103.62","102.80","103.58"
05-17-2023,"102.61","103.11","102.54","102.88"
05-16-2023,"102.43","102.69","102.20","102.56"
05-15-2023,"102.67","102.75","102.38","102.43"
