date,open,high,low,close,tickvol,vol,spread
2023.05.29,1942.99,1949.71,1940.22,1943.15,52903,0,5
2023.05.30,1942.91,1963.55,1932.05,1959.81,124843,0,5
2023.05.31,1958.90,1974.79,1953.68,1963.04,135229,0,0
2023.06.01,1963.31,1983.10,1953.39,1977.81,130239,0,4
2023.06.02,1976.96,1983.48,1947.92,1948.17,124711,0,5
2023.06.05,1947.43,1964.03,1938.13,1961.60,127561,0,4
2023.06.06,1961.21,1966.40,1954.39,1962.98,109141,0,5
2023.06.07,1963.10,1970.18,1939.81,1940.04,116650,0,5
2023.06.08,1940.07,1970.50,1940.07,1965.36,120830,0,5
2023.06.09,1965.97,1973.10,1956.64,1960.53,102318,0,5
2023.06.12,1959.61,1966.97,1949.20,1956.93,117623,0,6
2023.06.13,1957.08,1971.13,1940.05,1943.00,127102,0,4
2023.06.14,1943.52,1960.27,1939.98,1940.06,124288,0,4
2023.06.15,1943.47,1960.26,1925.89,1958.00,144510,0,4
2023.06.16,1957.37,1967.93,1953.28,1957.26,121219,0,5
2023.06.19,1958.32,1958.76,1947.78,1950.48,64748,0,5
2023.06.20,1951.25,1956.79,1929.78,1935.58,125216,0,3
2023.06.21,1936.34,1939.45,1919.19,1932.31,117295,0,5
2023.06.22,1933.15,1934.82,1912.18,1913.21,112138,0,0
2023.06.23,1914.18,1937.47,1909.99,1921.25,117563,0,5
2023.06.26,1922.83,1933.36,1921.56,1923.03,125998,0,4
2023.06.27,1923.71,1930.69,1910.86,1913.10,145372,0,4
2023.06.28,1914.24,1917.14,1902.79,1906.83,128131,0,4
2023.06.29,1907.71,1913.13,1892.95,1908.11,157943,0,1
2023.06.30,1908.48,1922.80,1900.56,1918.99,152010,0,3
2023.07.03,1918.54,1930.98,1909.97,1921.29,117239,0,2
2023.07.04,1921.04,1930.75,1919.74,1925.89,59863,0,5
2023.07.05,1925.40,1935.05,1914.74,1914.82,137502,0,3
2023.07.06,1916.19,1927.59,1902.59,1910.61,154914,0,4
2023.07.07,1910.75,1934.97,1909.45,1925.04,155143,0,2
2023.07.10,1925.10,1928.06,1912.69,1925.06,130091,0,5
2023.07.11,1925.05,1938.47,1924.35,1932.20,140481,0,4
2023.07.12,1932.10,1959.70,1932.10,1957.58,182618,0,3
2023.07.13,1957.75,1963.65,1952.38,1960.32,174608,0,4
2023.07.14,1960.34,1963.78,1950.93,1958.62,150427,0,3
2023.07.17,1954.83,1959.85,1945.77,1954.84,122617,0,5
2023.07.18,1954.45,1984.36,1954.45,1978.82,166888,0,2
2023.07.19,1978.77,1980.93,1969.69,1976.64,139220,0,5
2023.07.20,1978.29,1987.43,1965.36,1969.41,150651,0,4
2023.07.21,1970.44,1973.80,1956.81,1961.84,131245,0,3
2023.07.24,1962.15,1967.88,1953.47,1954.47,128851,0,5
2023.07.25,1955.08,1965.69,1951.74,1964.68,114755,0,4
2023.07.26,1964.73,1978.32,1962.00,1972.01,151322,0,1
2023.07.27,1971.08,1982.23,1942.57,1944.70,171479,0,1
2023.07.28,1946.72,1963.56,1945.35,1959.00,163704,0,5
2023.07.31,1959.69,1972.39,1950.87,1965.57,124167,0,5
2023.08.01,1965.64,1965.98,1941.26,1944.09,137650,0,3
2023.08.02,1950.10,1954.84,1932.94,1934.56,137843,0,1
2023.08.03,1935.23,1938.88,1929.51,1934.20,143881,0,4
2023.08.04,1934.68,1946.95,1925.53,1942.65,131349,0,2
2023.08.07,1942.32,1946.72,1931.49,1936.21,92575,0,5
2023.08.08,1936.43,1938.06,1922.73,1924.69,116875,0,2
2023.08.09,1924.88,1932.34,1913.98,1914.44,104681,0,3
2023.08.10,1915.32,1930.14,1912.10,1912.39,138994,0,3
2023.08.11,1912.50,1920.95,1910.77,1913.66,110410,0,3
2023.08.14,1913.77,1916.24,1902.69,1907.10,110271,0,4
2023.08.15,1907.09,1911.65,1896.35,1901.57,148964,0,3
2023.08.16,1901.75,1907.22,1891.85,1892.47,115164,0,0
2023.08.17,1894.04,1903.49,1885.04,1888.95,132716,0,4
2023.08.18,1889.48,1896.91,1886.76,1889.58,110303,0,3
2023.08.21,1889.27,1898.78,1884.81,1894.66,124296,0,4
2023.08.22,1894.50,1904.53,1889.11,1897.32,112253,0,3
2023.08.23,1897.76,1920.38,1897.50,1915.33,130235,0,0
2023.08.24,1916.65,1923.40,1911.77,1916.85,123170,0,3
2023.08.25,1916.76,1922.45,1903.78,1913.87,133164,0,0
2023.08.28,1915.66,1926.07,1912.77,1920.04,88244,0,4
2023.08.29,1920.16,1938.20,1914.44,1937.56,126501,0,0
2023.08.30,1937.00,1949.07,1934.95,1942.37,119671,0,4
2023.08.31,1943.79,1947.91,1939.07,1939.87,102490,0,0
2023.09.01,1939.97,1953.02,1934.40,1939.86,139380,0,0
2023.09.04,1940.03,1946.28,1936.76,1938.47,49788,0,4
2023.09.05,1938.57,1938.99,1925.36,1925.83,114240,0,3
2023.09.06,1926.27,1929.19,1915.31,1916.19,117051,0,3
2023.09.07,1917.26,1923.54,1916.25,1919.53,100188,0,4
2023.09.08,1919.28,1929.70,1917.35,1918.99,98110,0,4
2023.09.11,1919.64,1930.77,1916.47,1922.36,101675,0,4
2023.09.12,1922.70,1924.48,1907.59,1913.26,103719,0,1
2023.09.13,1913.19,1915.77,1905.51,1908.13,127049,0,0
2023.09.14,1909.13,1912.91,1901.02,1910.39,151532,0,3
2023.09.15,1910.68,1930.43,1909.71,1923.62,122430,0,4
2023.09.18,1923.91,1934.23,1922.52,1933.56,98677,0,4
2023.09.19,1933.56,1937.41,1929.75,1931.23,87422,0,4
2023.09.20,1932.25,1947.42,1927.95,1929.31,136348,0,2
2023.09.21,1929.81,1931.60,1913.90,1919.82,145044,0,3
2023.09.22,1919.63,1929.12,1919.63,1925.07,96529,0,2
2023.09.25,1926.04,1927.22,1915.11,1915.90,87557,0,2
2023.09.26,1916.08,1916.71,1899.12,1900.30,98639,0,2
2023.09.27,1900.71,1903.92,1872.55,1875.08,115362,0,3
2023.09.28,1876.53,1879.58,1857.66,1865.24,148178,0,2
2023.09.29,1865.03,1879.88,1846.33,1848.99,148067,0,0
2023.10.02,1847.39,1848.93,1827.14,1828.02,153863,0,2
2023.10.03,1828.98,1833.38,1815.25,1823.21,192005,0,2
2023.10.04,1823.73,1830.79,1816.58,1820.77,181864,0,2
2023.10.05,1821.70,1829.20,1813.01,1820.15,163465,0,4
2023.10.06,1820.64,1834.90,1810.47,1831.49,200816,0,2
2023.10.09,1854.30,1863.49,1844.23,1861.31,154617,0,4
2023.10.10,1861.13,1865.37,1853.00,1860.02,206185,0,3
2023.10.11,1860.27,1877.20,1858.61,1873.64,192900,0,4
2023.10.12,1874.36,1885.12,1867.91,1868.82,190711,0,4
2023.10.13,1869.20,1930.79,1869.16,1929.60,213016,0,2
2023.10.16,1927.12,1927.33,1908.20,1919.76,157802,0,2
2023.10.17,1919.76,1931.57,1912.41,1922.95,161180,0,3
2023.10.18,1923.28,1962.67,1923.27,1947.69,189675,0,2
2023.10.19,1947.43,1977.73,1945.25,1974.15,208013,0,3
2023.10.20,1972.95,1997.21,1972.04,1980.30,200791,0,4
2023.10.23,1974.01,1982.81,1964.38,1972.61,173228,0,4
2023.10.24,1973.26,1980.87,1953.49,1971.01,169733,0,4
2023.10.25,1969.97,1987.28,1962.96,1979.52,162510,0,4
2023.10.26,1980.68,1993.44,1971.63,1984.51,190119,0,4
2023.10.27,1983.77,2009.47,1976.78,2005.58,179835,0,4
2023.10.30,2003.35,2006.74,1990.96,1996.35,160759,0,4
2023.10.31,1995.96,2007.93,1978.84,1983.79,176431,0,4
2023.11.01,1983.65,1992.03,1969.88,1981.40,184859,0,4
2023.11.02,1982.19,1991.08,1978.84,1985.34,154123,0,4
2023.11.03,1985.85,2004.11,1983.17,1992.36,188117,0,3
2023.11.06,1991.44,1993.16,1977.42,1978.10,141214,0,4
2023.11.07,1978.17,1978.27,1956.71,1968.76,160002,0,6
2023.11.08,1969.06,1971.04,1947.44,1950.25,154454,0,6
2023.11.09,1950.89,1965.64,1944.51,1958.50,174725,0,5
2023.11.10,1958.16,1960.81,1933.06,1937.78,159274,0,5
2023.11.13,1940.52,1949.22,1931.60,1946.03,126563,0,6
2023.11.14,1945.92,1970.87,1943.71,1963.08,138428,0,5
2023.11.15,1962.57,1975.34,1955.37,1959.34,144804,0,5
2023.11.16,1960.45,1987.91,1956.41,1981.19,132632,0,6
2023.11.17,1981.04,1993.36,1978.53,1980.16,132298,0,6
2023.11.20,1977.45,1985.15,1965.40,1977.33,147844,0,6
2023.11.21,1978.42,2007.53,1978.28,1998.52,164573,0,5
2023.11.22,1998.47,2006.43,1986.86,1989.89,144419,0,6
2023.11.23,1989.81,1998.52,1988.83,1992.78,39510,0,5
2023.11.24,1993.07,2003.58,1991.45,2002.33,53647,0,6
2023.11.27,2000.89,2018.12,2000.38,2013.95,78978,0,6
2023.11.28,2012.84,2042.98,2011.49,2041.11,76105,0,6
2023.11.29,2040.92,2051.99,2035.42,2044.08,91294,0,6
2023.11.30,2044.73,2047.25,2031.01,2035.99,82496,0,5
2023.12.01,2037.45,2075.36,2033.91,2071.35,64670,0,5
2023.12.04,2074.03,2134.57,2020.13,2028.93,83059,0,5
2023.12.05,2029.53,2041.17,2009.80,2019.16,74576,0,5
2023.12.06,2019.29,2035.86,2017.21,2025.34,64203,0,5
2023.12.07,2025.82,2039.94,2020.18,2028.52,63350,0,5
2023.12.08,2028.72,2033.98,1994.58,2003.89,67601,0,5
2023.12.11,2005.55,2007.71,1975.78,1981.73,59875,0,5
2023.12.12,1982.41,1996.68,1977.21,1979.31,50265,0,5
2023.12.13,1979.87,2027.36,1973.00,2026.29,56296,0,5
2023.12.14,2025.00,2047.90,2024.45,2035.83,74024,0,5
2023.12.15,2036.41,2044.95,2015.48,2018.39,341130,0,5
2023.12.18,2019.59,2033.77,2015.86,2027.11,286998,0,9
2023.12.19,2027.73,2047.03,2021.62,2040.50,311737,0,8
2023.12.20,2039.95,2043.56,2027.27,2030.78,313819,0,16
2023.12.21,2032.44,2046.12,2031.39,2045.87,334884,0,16
2023.12.22,2047.30,2070.70,2046.78,2053.08,383757,0,16
2023.12.26,2058.03,2069.05,2053.39,2067.23,202692,0,16
2023.12.27,2067.75,2084.51,2061.32,2077.16,285861,0,16
2023.12.28,2078.01,2088.51,2064.37,2065.61,328644,0,16
2023.12.29,2066.76,2074.87,2058.07,2062.47,318640,0,16
