date,open,high,low,close,tickvol,vol,spread
2023.02.15,0.69816,0.69889,0.68646,0.69027,113065,0,0
2023.02.16,0.68994,0.69360,0.68403,0.68778,130159,0,0
2023.02.17,0.68778,0.68843,0.68118,0.68778,114982,0,0
2023.02.20,0.68667,0.69206,0.68626,0.69091,73159,0,0
2023.02.21,0.69042,0.69199,0.68472,0.68557,107226,0,0
2023.02.22,0.68510,0.68650,0.67946,0.68038,104218,0,0
2023.02.23,0.67975,0.68420,0.67815,0.68076,90457,0,0
2023.02.24,0.68031,0.68241,0.67185,0.67249,102444,0,0
2023.02.27,0.67277,0.67447,0.66982,0.67390,80584,0,0
2023.02.28,0.67374,0.67577,0.67038,0.67289,85890,0,0
2023.03.01,0.67276,0.67837,0.66952,0.67585,104545,0,0
2023.03.02,0.67576,0.67660,0.67066,0.67295,95940,0,0
2023.03.03,0.67289,0.67747,0.67211,0.67681,81833,0,1
2023.03.06,0.67468,0.67696,0.67163,0.67314,73491,0,0
2023.03.07,0.67295,0.67481,0.65811,0.65876,101019,0,0
2023.03.08,0.65826,0.66289,0.65680,0.65884,80379,0,0
2023.03.09,0.65882,0.66364,0.65762,0.65897,71560,0,0
2023.03.10,0.65886,0.66403,0.65641,0.65817,144119,0,0
2023.03.13,0.66011,0.67168,0.65993,0.66646,223227,0,0
2023.03.14,0.66641,0.66961,0.66317,0.66798,157685,0,0
2023.03.15,0.66801,0.67116,0.65899,0.66122,170722,0,0
2023.03.16,0.66141,0.66683,0.66112,0.66532,152230,0,0
2023.03.17,0.66516,0.67250,0.66487,0.66987,104331,0,0
2023.03.20,0.67139,0.67301,0.66659,0.67171,115167,0,0
2023.03.21,0.67153,0.67264,0.66497,0.66689,82032,0,0
2023.03.22,0.66689,0.67589,0.66614,0.66833,95667,0,0
2023.03.23,0.66816,0.67555,0.66696,0.66865,101919,0,0
2023.03.24,0.66863,0.66944,0.66251,0.66437,96519,0,0
2023.03.27,0.66487,0.66659,0.66340,0.66494,75489,0,0
2023.03.28,0.66486,0.67102,0.66441,0.67063,68569,0,0
2023.03.29,0.67072,0.67133,0.66615,0.66845,71859,0,0
2023.03.30,0.66832,0.67184,0.66615,0.67114,65927,0,0
2023.03.31,0.67107,0.67380,0.66704,0.66857,68916,0,0
2023.04.03,0.66813,0.67900,0.66511,0.67859,87095,0,0
2023.04.04,0.67847,0.67934,0.67206,0.67527,78419,0,0
2023.04.05,0.67502,0.67798,0.66770,0.67214,80194,0,0
2023.04.06,0.67198,0.67254,0.66531,0.66715,59268,0,0
2023.04.07,0.66707,0.66914,0.66408,0.66654,31732,0,0
2023.04.10,0.66609,0.66803,0.66194,0.66420,47405,0,0
2023.04.11,0.66403,0.66798,0.66198,0.66538,61369,0,0
2023.04.12,0.66524,0.67235,0.66451,0.66931,63675,0,0
2023.04.13,0.66918,0.67967,0.66841,0.67839,63295,0,0
2023.04.14,0.67819,0.68057,0.66950,0.67097,74896,0,0
2023.04.17,0.66985,0.67192,0.66809,0.67020,60713,0,0
2023.04.18,0.67001,0.67475,0.66902,0.67277,63590,0,0
2023.04.19,0.67266,0.67414,0.66901,0.67135,59601,0,0
2023.04.20,0.67129,0.67719,0.66970,0.67420,62124,0,0
2023.04.21,0.67405,0.67456,0.66778,0.66928,52023,0,0
2023.04.24,0.66919,0.66978,0.66656,0.66949,48164,0,0
2023.04.25,0.66949,0.67056,0.66143,0.66255,50960,0,0
2023.04.26,0.66246,0.66392,0.65915,0.66037,63924,0,0
2023.04.27,0.66019,0.66355,0.65934,0.66298,62141,0,0
2023.04.28,0.66298,0.66422,0.65737,0.66152,71141,0,0
2023.05.01,0.66079,0.66682,0.66067,0.66304,54231,0,0
2023.05.02,0.66288,0.67172,0.66207,0.66633,69302,0,0
2023.05.03,0.66616,0.67031,0.66493,0.66745,70142,0,0
2023.05.04,0.66716,0.67062,0.66402,0.66933,88104,0,0
2023.05.05,0.66919,0.67570,0.66907,0.67530,63714,0,0
2023.05.08,0.67407,0.68037,0.67401,0.67803,47677,0,0
2023.05.09,0.67793,0.67869,0.67465,0.67618,45748,0,0
2023.05.10,0.67615,0.68183,0.67441,0.67784,61299,0,0
2023.05.11,0.67779,0.67961,0.66890,0.67020,65854,0,0
2023.05.12,0.67010,0.67064,0.66361,0.66412,52758,0,0
2023.05.15,0.66441,0.67089,0.66412,0.66996,47349,0,0
2023.05.16,0.66986,0.67097,0.66512,0.66547,52012,0,0
2023.05.17,0.66542,0.66732,0.66290,0.66589,52974,0,0
2023.05.18,0.66583,0.66677,0.66050,0.66230,53996,0,0
2023.05.19,0.66200,0.66751,0.66058,0.66497,63387,0,0
2023.05.22,0.66432,0.66678,0.66272,0.66518,58342,0,0
2023.05.23,0.66503,0.66620,0.66074,0.66099,58578,0,0
2023.05.24,0.66084,0.66154,0.65298,0.65431,66135,0,0
2023.05.25,0.65426,0.65458,0.64985,0.65047,62341,0,0
2023.05.26,0.65039,0.65443,0.64905,0.65178,58192,0,0
2023.05.29,0.65186,0.65543,0.65177,0.65395,32111,0,0
2023.05.30,0.65379,0.65594,0.65030,0.65181,60778,0,0
2023.05.31,0.65160,0.65392,0.64583,0.65035,69360,0,0
2023.06.01,0.65026,0.65815,0.64845,0.65726,60523,0,0
2023.06.02,0.65722,0.66387,0.65597,0.66048,59894,0,0
2023.06.05,0.65998,0.66377,0.65795,0.66177,66015,0,0
2023.06.06,0.66155,0.66856,0.66098,0.66713,56422,0,0
2023.06.07,0.66705,0.67174,0.66416,0.66520,58525,0,0
2023.06.08,0.66507,0.67182,0.66463,0.67141,49916,0,0
2023.06.09,0.67141,0.67508,0.66927,0.67422,48839,0,0
2023.06.12,0.67291,0.67735,0.67291,0.67509,50644,0,0
2023.06.13,0.67491,0.68071,0.67364,0.67664,65001,0,0
2023.06.14,0.67650,0.68356,0.67551,0.67978,63609,0,0
2023.06.15,0.67937,0.68929,0.67663,0.68826,60104,0,0
2023.06.16,0.68815,0.68998,0.68551,0.68745,61221,0,0
2023.06.19,0.68761,0.68826,0.68340,0.68493,46907,0,0
2023.06.20,0.68485,0.68547,0.67531,0.67816,69845,0,0
2023.06.21,0.67818,0.68045,0.67410,0.67956,73234,0,0
2023.06.22,0.67956,0.68062,0.67446,0.67535,67898,0,0
2023.06.23,0.67444,0.67677,0.66629,0.66754,68169,0,0
2023.06.26,0.66767,0.66938,0.66676,0.66740,61707,0,0
2023.06.27,0.66740,0.67207,0.66594,0.66851,82680,0,0
2023.06.28,0.66849,0.66893,0.65969,0.65995,79203,0,0
2023.06.29,0.65976,0.66405,0.65953,0.66150,75311,0,0
2023.06.30,0.66147,0.66715,0.66034,0.66559,75549,0,0
2023.07.03,0.66592,0.66919,0.66370,0.66713,57278,0,0
2023.07.04,0.66684,0.67054,0.66416,0.66907,39790,0,0
2023.07.05,0.66877,0.66985,0.66529,0.66536,49759,0,0
2023.07.06,0.66526,0.66879,0.65991,0.66239,66618,0,0
2023.07.07,0.66242,0.67008,0.66116,0.66918,68292,0,0
2023.07.10,0.66790,0.66960,0.66236,0.66741,52482,0,0
2023.07.11,0.66737,0.66950,0.66509,0.66863,60500,0,0
2023.07.12,0.66783,0.67960,0.66754,0.67832,87256,0,0
2023.07.13,0.67763,0.68947,0.67753,0.68876,70357,0,0
2023.07.14,0.68872,0.68951,0.68353,0.68357,66930,0,0
2023.07.17,0.68405,0.68418,0.67876,0.68123,57787,0,0
2023.07.18,0.68117,0.68373,0.67891,0.68100,81983,0,0
2023.07.19,0.68097,0.68200,0.67502,0.67709,79332,0,0
2023.07.20,0.67715,0.68467,0.67545,0.67769,78695,0,0
2023.07.21,0.67774,0.67879,0.67225,0.67288,59088,0,0
2023.07.24,0.67279,0.67561,0.67151,0.67381,70632,0,0
2023.07.25,0.67375,0.67950,0.67229,0.67916,63397,0,0
2023.07.26,0.67897,0.67926,0.67294,0.67570,82806,0,0
2023.07.27,0.67505,0.68212,0.66981,0.67080,93739,0,0
2023.07.28,0.67007,0.67136,0.66227,0.66459,92207,0,0
2023.07.31,0.66425,0.67396,0.66425,0.67166,66217,0,0
2023.08.01,0.67140,0.67236,0.66020,0.66128,68257,0,0
2023.08.02,0.66084,0.66298,0.65270,0.65380,70311,0,0
2023.08.03,0.65357,0.65685,0.65142,0.65490,80406,0,0
2023.08.04,0.65497,0.66095,0.65358,0.65640,82379,0,0
2023.08.07,0.65698,0.65929,0.65552,0.65724,54503,0,0
2023.08.08,0.65720,0.65760,0.64967,0.65425,65608,0,0
2023.08.09,0.65424,0.65712,0.65201,0.65271,65131,0,0
2023.08.10,0.65272,0.66165,0.65137,0.65140,87052,0,0
2023.08.11,0.65153,0.65336,0.64859,0.64942,69598,0,0
2023.08.14,0.64947,0.65030,0.64540,0.64856,65792,0,0
2023.08.15,0.64854,0.65220,0.64514,0.64542,96379,0,0
