date,open,high,low,close,tickvol,vol,spread
2023.01.02,1.20782,1.20783,1.20350,1.20458,15633,0,0
2023.01.03,1.20432,1.20848,1.19003,1.19655,109037,0,1
2023.01.04,1.19616,1.20876,1.19572,1.20532,113740,0,1
2023.01.05,1.20523,1.20778,1.18732,1.19128,113705,0,1
2023.01.06,1.19098,1.20991,1.18414,1.20945,126757,0,1
2023.01.09,1.20770,1.22100,1.20760,1.21836,116394,0,2
2023.01.10,1.21842,1.21982,1.21099,1.21495,105238,0,1
2023.01.11,1.21466,1.21781,1.21003,1.21483,91668,0,1
2023.01.12,1.21436,1.22466,1.20882,1.22079,134420,0,1
2023.01.13,1.22069,1.22484,1.21507,1.22351,113371,0,0
2023.01.16,1.22100,1.22890,1.21716,1.21917,82008,0,0
2023.01.17,1.21901,1.23000,1.21693,1.22875,125530,0,1
2023.01.18,1.22862,1.24359,1.22538,1.23467,142615,0,1
2023.01.19,1.23467,1.23973,1.23130,1.23882,113543,0,1
2023.01.20,1.23880,1.24041,1.23353,1.23993,92829,0,1
2023.01.23,1.23978,1.24477,1.23234,1.23758,93841,0,1
2023.01.24,1.23742,1.24138,1.22630,1.23343,92466,0,1
2023.01.25,1.23282,1.24039,1.22830,1.23995,83984,0,1
2023.01.26,1.23974,1.24302,1.23445,1.24078,81878,0,1
2023.01.27,1.24082,1.24184,1.23453,1.23976,71658,0,0
2023.01.30,1.23897,1.24173,1.23370,1.23495,75822,0,0
2023.01.31,1.23456,1.23707,1.22842,1.23191,81118,0,0
2023.02.01,1.23151,1.23947,1.22724,1.23733,96223,0,0
2023.02.02,1.23718,1.24010,1.22214,1.22237,117394,0,1
2023.02.03,1.22236,1.22654,1.20471,1.20506,148293,0,1
2023.02.06,1.20297,1.20774,1.20056,1.20171,149189,0,1
2023.02.07,1.20197,1.20954,1.19611,1.20469,170586,0,2
2023.02.08,1.20433,1.21096,1.20300,1.20698,144061,0,2
2023.02.09,1.20662,1.21937,1.20566,1.21200,157515,0,2
2023.02.10,1.21175,1.21393,1.20470,1.20578,162369,0,1
2023.02.13,1.20630,1.21520,1.20308,1.21381,134746,0,2
2023.02.14,1.21342,1.22703,1.21171,1.21729,193813,0,0
2023.02.15,1.21669,1.21814,1.19894,1.20320,168308,0,1
2023.02.16,1.20237,1.20742,1.19652,1.19907,179158,0,1
2023.02.17,1.19878,1.20493,1.19149,1.20401,156669,0,1
2023.02.20,1.20227,1.20569,1.20144,1.20383,100002,0,0
2023.02.21,1.20369,1.21476,1.19860,1.21112,134269,0,1
2023.02.22,1.21115,1.21353,1.20344,1.20456,125010,0,1
2023.02.23,1.20437,1.20749,1.19921,1.20135,116850,0,1
2023.02.24,1.20105,1.20421,1.19283,1.19392,133940,0,1
2023.02.27,1.19500,1.20658,1.19226,1.20619,104006,0,1
2023.02.28,1.20615,1.21431,1.20209,1.20214,120400,0,1
2023.03.01,1.20215,1.20890,1.19650,1.20257,142064,0,1
2023.03.02,1.20256,1.20362,1.19249,1.19478,125256,0,1
2023.03.03,1.19472,1.20484,1.19319,1.20435,112211,0,1
2023.03.06,1.20207,1.20489,1.19927,1.20262,83615,0,2
2023.03.07,1.20245,1.20653,1.18212,1.18266,121180,0,0
2023.03.08,1.18249,1.18591,1.18030,1.18429,83361,0,0
2023.03.09,1.18428,1.19388,1.18238,1.19217,85135,0,0
2023.03.10,1.19213,1.21136,1.19075,1.20311,170240,0,1
2023.03.13,1.20868,1.21997,1.20465,1.21819,272578,0,2
2023.03.14,1.21860,1.22041,1.21355,1.21518,221584,0,1
2023.03.15,1.21518,1.21815,1.20103,1.20412,236607,0,1
2023.03.16,1.20411,1.21277,1.20271,1.21062,209765,0,1
2023.03.17,1.21062,1.22006,1.21018,1.21761,156660,0,0
2023.03.20,1.22033,1.22849,1.21670,1.22729,145537,0,0
2023.03.21,1.22729,1.22824,1.21786,1.22178,112887,0,0
2023.03.22,1.22143,1.23353,1.22083,1.22643,135950,0,0
2023.03.23,1.22643,1.23435,1.22612,1.22881,139468,0,1
2023.03.24,1.22884,1.22920,1.21902,1.22307,152748,0,1
2023.03.27,1.22265,1.22932,1.22191,1.22878,127816,0,2
2023.03.28,1.22865,1.23492,1.22751,1.23385,122801,0,0
2023.03.29,1.23388,1.23616,1.23025,1.23166,130873,0,0
2023.03.30,1.23136,1.23929,1.22935,1.23872,108099,0,0
2023.03.31,1.23866,1.24227,1.23243,1.23308,112389,0,0
2023.04.03,1.23247,1.24233,1.22745,1.24172,122479,0,0
2023.04.04,1.24165,1.25253,1.23950,1.25010,117927,0,0
2023.04.05,1.24981,1.25144,1.24326,1.24595,116571,0,1
2023.04.06,1.24594,1.24868,1.24126,1.24379,96869,0,0
2023.04.07,1.24369,1.24559,1.23890,1.24164,79004,0,0
2023.04.10,1.24130,1.24424,1.23443,1.23824,88477,0,0
2023.04.11,1.23809,1.24564,1.23769,1.24257,115791,0,0
2023.04.12,1.24237,1.24952,1.23982,1.24844,81923,0,0
2023.04.13,1.24824,1.25375,1.24759,1.25237,94491,0,0
2023.04.14,1.25213,1.25461,1.23991,1.24137,117485,0,1
2023.04.17,1.24022,1.24383,1.23532,1.23769,109162,0,0
2023.04.18,1.23757,1.24499,1.23602,1.24254,97430,0,1
2023.04.19,1.24231,1.24742,1.23922,1.24375,101319,0,0
2023.04.20,1.24384,1.24677,1.24046,1.24432,100409,0,1
2023.04.21,1.24414,1.24481,1.23668,1.24436,97904,0,1
2023.04.24,1.24384,1.24855,1.24106,1.24836,93088,0,2
2023.04.25,1.24847,1.25068,1.23866,1.24109,104118,0,1
2023.04.26,1.24082,1.25154,1.24011,1.24697,118812,0,1
2023.04.27,1.24667,1.25000,1.24360,1.24987,118930,0,0
2023.04.28,1.24963,1.25838,1.24464,1.25675,136287,0,1
2023.05.01,1.25550,1.25699,1.24804,1.24934,92638,0,1
2023.05.02,1.24937,1.25120,1.24357,1.24679,119853,0,1
2023.05.03,1.24663,1.25899,1.24599,1.25634,114360,0,1
2023.05.04,1.25630,1.25986,1.25385,1.25723,134439,0,1
2023.05.05,1.25711,1.26526,1.25600,1.26310,94094,0,1
2023.05.08,1.26290,1.26687,1.26129,1.26190,75982,0,0
2023.05.09,1.26168,1.26397,1.25780,1.26212,100165,0,2
2023.05.10,1.26197,1.26798,1.26025,1.26252,91216,0,0
2023.05.11,1.26237,1.26405,1.24965,1.25129,107266,0,0
2023.05.12,1.25105,1.25409,1.24446,1.24481,91259,0,1
2023.05.15,1.24460,1.25345,1.24432,1.25268,76632,0,1
2023.05.16,1.25266,1.25465,1.24653,1.24833,86989,0,0
2023.05.17,1.24831,1.25103,1.24216,1.24857,89580,0,2
2023.05.18,1.24846,1.24928,1.23916,1.24077,90905,0,1
2023.05.19,1.24073,1.24843,1.23917,1.24461,97946,0,1
2023.05.22,1.24380,1.24720,1.24138,1.24374,93543,0,0
2023.05.23,1.24353,1.24463,1.23728,1.24156,104439,0,0
2023.05.24,1.24132,1.24695,1.23576,1.23659,114205,0,0
2023.05.25,1.23633,1.23870,1.23079,1.23207,100139,0,1
2023.05.26,1.23203,1.23953,1.23107,1.23503,109549,0,0
2023.05.29,1.23325,1.23719,1.23320,1.23554,57187,0,0
2023.05.30,1.23516,1.24465,1.23271,1.24120,106159,0,2
2023.05.31,1.24108,1.24433,1.23479,1.24427,118956,0,1
2023.06.01,1.24380,1.25396,1.24007,1.25258,114068,0,1
2023.06.02,1.25246,1.25445,1.24413,1.24500,106951,0,1
2023.06.05,1.24422,1.24535,1.23682,1.24341,104443,0,1
2023.06.06,1.24320,1.24587,1.23915,1.24223,97322,0,0
2023.06.07,1.24223,1.25001,1.23950,1.24381,102659,0,0
2023.06.08,1.24360,1.25607,1.24243,1.25579,104057,0,0
2023.06.09,1.25590,1.25903,1.25340,1.25795,92564,0,0
2023.06.12,1.25570,1.25994,1.24868,1.25133,90041,0,2
2023.06.13,1.25103,1.26248,1.24931,1.26108,114364,0,1
2023.06.14,1.26100,1.26990,1.25905,1.26606,113716,0,1
2023.06.15,1.26598,1.27855,1.26294,1.27834,102753,0,1
2023.06.16,1.27834,1.28482,1.27681,1.28202,108826,0,1
2023.06.19,1.28175,1.28367,1.27705,1.27870,79980,0,0
2023.06.20,1.27911,1.28064,1.27135,1.27636,125768,0,0
2023.06.21,1.27639,1.28027,1.26911,1.27675,136256,0,0
2023.06.22,1.27683,1.28448,1.27256,1.27463,130000,0,1
2023.06.23,1.27407,1.27488,1.26847,1.27143,125923,0,1
2023.06.26,1.27074,1.27486,1.26878,1.27108,128194,0,0
2023.06.27,1.27073,1.27594,1.27033,1.27483,156915,0,1
2023.06.28,1.27485,1.27518,1.26064,1.26345,147629,0,0
2023.06.29,1.26348,1.26669,1.25910,1.26119,139744,0,0
2023.06.30,1.26129,1.27276,1.25993,1.26930,121128,0,0
2023.07.03,1.26849,1.27232,1.26583,1.26907,85384,0,0
2023.07.04,1.26911,1.27391,1.26748,1.27091,50935,0,0
2023.07.05,1.27090,1.27353,1.26880,1.27036,76119,0,0
2023.07.06,1.26906,1.27808,1.26734,1.27395,125803,0,1
2023.07.07,1.27312,1.28494,1.27257,1.28383,104366,0,0
2023.07.10,1.28256,1.28682,1.27501,1.28607,88047,0,0
2023.07.11,1.28563,1.29349,1.28507,1.29300,98794,0,1
2023.07.12,1.29321,1.30007,1.29040,1.29868,120108,0,0
2023.07.13,1.29856,1.31409,1.29746,1.31348,111697,0,1
2023.07.14,1.31291,1.31422,1.30934,1.30979,111755,0,0
2023.07.17,1.30824,1.31089,1.30509,1.30725,85198,0,0
2023.07.18,1.30725,1.31256,1.30280,1.30343,112799,0,1
2023.07.19,1.30340,1.30414,1.28674,1.29391,130515,0,1
2023.07.20,1.29387,1.29642,1.28398,1.28665,98110,0,0
2023.07.21,1.28663,1.29040,1.28158,1.28517,81710,0,1
2023.07.24,1.28490,1.28838,1.27978,1.28247,108562,0,0
2023.07.25,1.28208,1.29046,1.28075,1.29019,90867,0,0
2023.07.26,1.29014,1.29600,1.28751,1.29405,105156,0,1
2023.07.27,1.29410,1.29958,1.27817,1.27955,136898,0,0
